Unnamed: 0,Name,t_del(days),Freq(GHz),Flux_mjy,Flux-err_mJy,Distance_mpc,Ref,Redshift
169,SN 2004et,31.0,8.4,1.31,0.28,5.6,"Bietenholz, 2021",
170,SN 2004et,38.0,8.4,1.86,0.14,5.6,"Bietenholz, 2021",
171,SN 2004et,45.0,8.4,1.99,0.12,5.6,"Bietenholz, 2021",
172,SN 2004et,60.0,8.4,1.79,0.12,5.6,"Bietenholz, 2021",
173,SN 2004et,69.0,8.4,1.91,0.14,5.6,"Bietenholz, 2021",
174,SN 2004et,79.0,8.4,1.77,0.1,5.6,"Bietenholz, 2021",
175,SN 2004et,138.0,8.4,1.08,0.08,5.6,"Bietenholz, 2021",
176,SN 2004et,151.0,8.4,1.23,0.07,5.6,"Bietenholz, 2021",
178,SN 2005U,11.0,8.4,0.3,0.1,53.1,"Bietenholz, 2021",
179,SN 2005U,136.0,8.4,1.0,0.33,53.1,"Bietenholz, 2021",
180,SN 2005V,105.0,8.4,0.23,0.07,19.6,"Bietenholz, 2021",
181,SN 2005ay,25.0,8.4,0.08,0.02,12.7,"Bietenholz, 2021",
182,SN 2005ay,84.0,8.4,0.18,0.06,12.7,"Bietenholz, 2021",
183,SN 2005ay,106.0,8.4,0.12,0.04,12.7,"Bietenholz, 2021",
184,SN 2005ay,350.0,8.4,0.12,0.04,12.7,"Bietenholz, 2021",
185,SN 2005dl,221.0,8.4,0.52,0.17,20.4,"Bietenholz, 2021",
186,SN 2005dl,4041.0,9.0,0.03,0.01,20.4,"Bietenholz, 2021",
187,SN 2005gl,150.0,8.4,0.09,0.03,68.8,"Bietenholz, 2021",
192,SN 2005kd,687.0,8.4,0.16,0.02,69.4,"Bietenholz, 2021",
194,SN 2006bp,9.0,8.4,0.11,0.03,16.6,"Bietenholz, 2021",
197,SN 2006bp,169.0,8.4,0.12,0.04,16.6,"Bietenholz, 2021",
200,SN 2006my,104.0,8.4,1.5,0.5,16.5,"Bietenholz, 2021",
204,SN 2006ov,34.0,8.5,0.13,0.04,14.6,"Bietenholz, 2021",
207,SN 2007C,14.0,8.4,0.82,0.06,22.7,"Bietenholz, 2021",
208,SN 2007C,42.0,8.4,0.25,0.06,22.7,"Bietenholz, 2021",
209,SN 2007ak,20.0,8.5,0.4,0.13,69.6,"Bietenholz, 2021",
210,SN 2008X,622.0,8.4,0.08,0.04,35.4,"Bietenholz, 2021",
211,SN 2008ax,4.0,8.4,1.19,0.06,6.2,"Bietenholz, 2021",
213,SN 2008ax,7.0,8.4,3.94,0.23,6.2,"Bietenholz, 2021",
215,SN 2008ax,8.0,8.4,4.27,0.23,6.2,"Bietenholz, 2021",
217,SN 2008ax,9.0,8.4,4.63,0.27,6.2,"Bietenholz, 2021",
219,SN 2008ax,10.0,8.4,4.93,0.27,6.2,"Bietenholz, 2021",
221,SN 2008ax,14.0,8.4,4.8,0.26,6.2,"Bietenholz, 2021",
224,SN 2008ax,15.0,8.4,4.04,0.22,6.2,"Bietenholz, 2021",
229,SN 2008ax,18.0,8.4,2.63,0.21,6.2,"Bietenholz, 2021",
232,SN 2008ax,23.0,8.4,2.74,0.18,6.2,"Bietenholz, 2021",
235,SN 2008ax,29.0,8.4,1.39,0.11,6.2,"Bietenholz, 2021",
238,SN 2008ax,31.0,8.4,1.13,0.1,6.2,"Bietenholz, 2021",
241,SN 2008ax,35.0,8.4,0.87,0.08,6.2,"Bietenholz, 2021",
243,SN 2008ax,40.0,8.4,1.02,0.07,6.2,"Bietenholz, 2021",
245,SN 2008ax,44.0,8.4,1.04,0.08,6.2,"Bietenholz, 2021",
247,SN 2008ax,49.0,8.4,0.92,0.08,6.2,"Bietenholz, 2021",
249,SN 2008ax,55.0,8.4,1.38,0.11,6.2,"Bietenholz, 2021",
252,SN 2008ax,59.0,8.4,1.02,0.1,6.2,"Bietenholz, 2021",
255,SN 2008ax,66.0,8.4,0.81,0.1,6.2,"Bietenholz, 2021",
257,SN 2008ax,74.0,8.4,0.45,0.08,6.2,"Bietenholz, 2021",
259,SN 2008ax,79.0,8.4,0.51,0.07,6.2,"Bietenholz, 2021",
261,SN 2008ax,82.0,8.4,0.49,0.06,6.2,"Bietenholz, 2021",
264,SN 2008bo,9.0,8.4,0.47,0.05,19.1,"Bietenholz, 2021",
265,SN 2008bo,11.0,8.4,0.22,0.07,19.1,"Bietenholz, 2021",
266,SN 2008bo,22.0,8.4,0.5,0.04,19.1,"Bietenholz, 2021",
267,SN 2008bo,29.0,8.4,0.36,0.05,19.1,"Bietenholz, 2021",
270,SN 2008bo,31.0,8.4,0.22,0.03,19.1,"Bietenholz, 2021",
273,SN 2008bo,35.0,8.4,0.18,0.05,19.1,"Bietenholz, 2021",
275,SN 2008bo,43.0,8.4,0.13,0.04,19.1,"Bietenholz, 2021",
279,SN 2008in,9.0,8.4,0.22,0.07,14.6,"Bietenholz, 2021",
281,SN 2009E,635.0,8.4,0.14,0.04,35.4,"Bietenholz, 2021",
282,SN 2009dd,4.0,8.4,0.11,0.03,13.9,"Bietenholz, 2021",
283,SN 2009dd,19.0,8.4,0.12,0.04,13.9,"Bietenholz, 2021",
284,SN 2009dd,25.0,8.4,0.06,0.03,13.9,"Bietenholz, 2021",
285,SN 2009hd,22.0,8.4,0.18,0.06,9.6,"Bietenholz, 2021",
286,SN 2010as,31.0,9.0,2.19,0.11,27.4,"Bietenholz, 2021",
287,SN 2010as,40.0,9.0,3.1,0.9,27.4,"Bietenholz, 2021",
288,SN 2010as,45.0,9.0,1.7,0.2,27.4,"Bietenholz, 2021",
289,SN 2010as,62.0,9.0,1.69,0.08,27.4,"Bietenholz, 2021",
290,SN 2010as,104.0,9.0,2.38,0.12,27.4,"Bietenholz, 2021",
291,SN 2010as,141.0,9.0,2.27,0.15,27.4,"Bietenholz, 2021",
292,SN 2010as,172.0,9.0,2.0,0.67,27.4,"Bietenholz, 2021",
293,SN 2010as,221.0,9.0,1.9,0.63,27.4,"Bietenholz, 2021",
294,SN 2010kp,165.0,8.4,0.08,0.02,22.3,"Bietenholz, 2021",
295,SN 2011cb,39.0,9.0,0.18,0.03,36.0,"Bietenholz, 2021",
299,SN 2013ej,23.0,9.0,0.45,0.02,8.6,"Bietenholz, 2021",
300,SN 2013ej,53.0,9.0,0.19,0.03,8.6,"Bietenholz, 2021",
301,SN 2014bc,121.0,10.0,2.0,0.67,14.1,"Bietenholz, 2021",
304,SN 2015J,77.0,9.0,0.2,0.03,24.1,"Bietenholz, 2021",
306,SN 2015J,129.0,9.0,0.21,0.07,24.1,"Bietenholz, 2021",
308,SN 2015J,185.0,9.0,0.03,0.02,24.1,"Bietenholz, 2021",
310,SN 2015J,225.0,9.0,0.08,0.02,24.1,"Bietenholz, 2021",
312,SN 2016bas,28.0,9.0,1.0,0.1,42.4,"Bietenholz, 2021",
314,SN 2016bas,46.0,9.0,1.0,0.27,42.4,"Bietenholz, 2021",
316,SN 2016bas,100.0,9.0,5.85,0.26,42.4,"Bietenholz, 2021",
318,SN 2016bas,140.0,9.0,1.09,0.16,42.4,"Bietenholz, 2021",
320,SN 2016bas,177.0,9.0,2.72,0.29,42.4,"Bietenholz, 2021",
322,SN 2016bas,280.0,9.0,1.8,0.08,42.4,"Bietenholz, 2021",
324,SN 2016bas,363.0,9.0,1.96,0.09,42.4,"Bietenholz, 2021",
326,SN 2016bau,61.0,8.4,0.24,0.01,10.3,"Bietenholz, 2021",
327,SN 2016gfy,7.0,9.0,0.02,0.0,20.4,"Bietenholz, 2021",
328,SN 2018ec,27.0,9.0,3.6,1.2,40.3,"Bietenholz, 2021",
